Step,Time step,Time
247,0.028177,6.1452
248,0.028177,6.17338
249,0.028177,6.20156
250,0.028177,6.22973
251,0.028177,6.25791
252,0.028177,6.28609
253,0.028177,6.31426
254,0.028177,6.34244
255,0.028177,6.37062
256,0.028177,6.3988
257,0.028177,6.42697
258,0.028177,6.45515
259,0.028177,6.48333
260,0.028177,6.5115
261,0.028177,6.53968
262,0.028177,6.56786
263,0.028177,6.59603
264,0.028177,6.62421
265,0.028177,6.65239
266,0.028177,6.68057
267,0.028177,6.70874
268,0.028177,6.73692
269,0.028177,6.7651
270,0.028177,6.79327
271,0.028177,6.82145
272,0.028177,6.84963
273,0.028177,6.8778
274,0.028177,6.90598
275,0.028177,6.93416
276,0.028177,6.96234
277,0.028177,6.99051
278,0.028177,7.01869
279,0.0140885,7.03278
280,0.0140885,7.04687
281,0.0140885,7.06095
282,0.0140885,7.07504
283,0.0140885,7.08913
284,0.0140885,7.10322
285,0.0140885,7.11731
286,0.0206072,7.13792
287,0.0206072,7.15852
288,0.0250951,7.18362
289,0.0298273,7.21345
290,0.0320748,7.24552
291,0.0309494,7.27647
292,0.0294135,7.30588
293,0.0288415,7.33472
294,0.0288415,7.36357
295,0.0288415,7.39241
296,0.0288415,7.42125
297,0.0288415,7.45009
298,0.0288415,7.47893
299,0.0288415,7.50777
300,0.0288415,7.53662
301,0.0288415,7.56546
302,0.0288415,7.5943
303,0.0288415,7.62314
304,0.0288415,7.65198
305,0.0288415,7.68082
306,0.0288415,7.70966
307,0.0288415,7.73851
308,0.0288415,7.76735
309,0.0288415,7.79619
310,0.0288415,7.82503
311,0.0288415,7.85387
312,0.0288415,7.88271
313,0.0288415,7.91155
314,0.0288415,7.9404
315,0.0288415,7.96924
316,0.0288415,7.99808
317,0.0288415,8.02692
318,0.0288415,8.05576
319,0.0288415,8.0846
320,0.0288415,8.11345
321,0.0288415,8.14229
322,0.0288415,8.17113
323,0.0288415,8.19997
324,0.0288415,8.22881
325,0.0288415,8.25765
326,0.0288415,8.28649
327,0.0288415,8.31534
328,0.0288415,8.34418
329,0.0288415,8.37302
330,0.0288415,8.40186
331,0.0288415,8.4307
332,0.0288415,8.45954
333,0.0288415,8.48838
334,0.0288415,8.51723
335,0.0288415,8.54607
336,0.0288415,8.57491
337,0.0144207,8.58933
338,0.0144207,8.60375
339,0.0144207,8.61817
340,0.0144207,8.63259
341,0.0144207,8.64701
342,0.0144207,8.66143
343,0.0144207,8.67585
344,0.0144207,8.69028
345,0.0239229,8.7142
346,0.0260397,8.74024
347,0.0260397,8.76628
348,0.0299794,8.79626
349,0.0304849,8.82674
350,0.0298206,8.85656
351,0.0298206,8.88638
352,0.0298206,8.9162
353,0.0298206,8.94602
354,0.0298206,8.97584
355,0.0298206,9.00567
356,0.0298206,9.03549
357,0.0298206,9.06531
358,0.0298206,9.09513
359,0.0298206,9.12495
360,0.0298206,9.15477
