Step,Time step,Time
268,0.0344411,8.41226
269,0.0344411,8.4467
270,0.0344411,8.48114
271,0.0344411,8.51559
272,0.0344411,8.55003
273,0.0344411,8.58447
274,0.0344411,8.61891
275,0.0344411,8.65335
276,0.0344411,8.68779
277,0.0344411,8.72223
278,0.0344411,8.75667
279,0.0344411,8.79112
280,0.0344411,8.82556
281,0.0344411,8.86
282,0.0344411,8.89444
283,0.0344411,8.92888
284,0.0344411,8.96332
285,0.0344411,8.99776
286,0.0344411,9.0322
287,0.0344411,9.06664
288,0.0344411,9.10109
289,0.0344411,9.13553
290,0.0344411,9.16997
291,0.0344411,9.20441
292,0.0344411,9.23885
293,0.0344411,9.27329
294,0.0237664,9.29706
295,0.0237664,9.32082
296,0.0237664,9.34459
297,0.0237664,9.36836
298,0.0237664,9.39212
299,0.0237664,9.41589
300,0.0237664,9.43966
301,0.0237664,9.46342
302,0.0237664,9.48719
303,0.0237664,9.51095
304,0.0237664,9.53472
305,0.0237664,9.55849
306,0.0237664,9.58225
307,0.0237664,9.60602
308,0.0237664,9.62979
309,0.0237664,9.65355
310,0.0237664,9.67732
311,0.0237664,9.70108
312,0.0237664,9.72485
313,0.0237664,9.74862
314,0.0237664,9.77238
315,0.0237664,9.79615
316,0.0237664,9.81992
317,0.0237664,9.84368
318,0.0237664,9.86745
319,0.0237664,9.89122
320,0.0237664,9.91498
321,0.0237664,9.93875
322,0.0237664,9.96251
323,0.0237664,9.98628
324,0.0237664,10.01
325,0.0237664,10.0338
326,0.0237664,10.0576
327,0.0237664,10.0813
328,0.0237664,10.1051
329,0.0237664,10.1289
330,0.0237664,10.1526
331,0.0237664,10.1764
332,0.0237664,10.2002
333,0.0237664,10.2239
334,0.0237664,10.2477
335,0.0237664,10.2715
336,0.0237664,10.2952
337,0.0237664,10.319
338,0.0237664,10.3428
339,0.0237664,10.3665
340,0.0237664,10.3903
341,0.0237664,10.4141
342,0.0237664,10.4378
343,0.0237664,10.4616
344,0.0237664,10.4854
345,0.0237664,10.5091
346,0.0237664,10.5329
347,0.0237664,10.5567
348,0.0237664,10.5804
349,0.0237664,10.6042
350,0.0237664,10.628
351,0.0237664,10.6517
352,0.0237664,10.6755
353,0.0237664,10.6993
354,0.0237664,10.723
355,0.0237664,10.7468
356,0.0237664,10.7706
357,0.0237664,10.7943
358,0.0237664,10.8181
359,0.0237664,10.8419
360,0.0237664,10.8656
361,0.0237664,10.8894
362,0.0237664,10.9132
363,0.0237664,10.9369
364,0.0237664,10.9607
365,0.0237664,10.9845
366,0.0237664,11.0082
367,0.0237664,11.032
368,0.0237664,11.0558
369,0.0237664,11.0795
370,0.0237664,11.1033
371,0.0237664,11.1271
372,0.0237664,11.1508
373,0.0237664,11.1746
374,0.0237664,11.1984
375,0.0237664,11.2221
376,0.0237664,11.2459
377,0.0237664,11.2697
378,0.0237664,11.2934
379,0.0237664,11.3172
380,0.0237664,11.341
381,0.0237664,11.3647
382,0.0237664,11.3885
383,0.0237664,11.4123
384,0.0237664,11.436
385,0.0237664,11.4598
386,0.0237664,11.4836
387,0.0237664,11.5073
388,0.0237664,11.5311
389,0.0237664,11.5549
390,0.0237664,11.5786
391,0.0237664,11.6024
392,0.0237664,11.6262
393,0.0237664,11.6499
394,0.0237664,11.6737
395,0.0237664,11.6975
396,0.0237664,11.7212
397,0.0237664,11.745
398,0.0237664,11.7688
399,0.0237664,11.7925
400,0.0237664,11.8163
401,0.0237664,11.8401
402,0.0237664,11.8638
403,0.0237664,11.8876
404,0.0237664,11.9114
405,0.0237664,11.9351
406,0.0237664,11.9589
407,0.0237664,11.9827
408,0.0237664,12.0064
409,0.0237664,12.0302
410,0.0237664,12.054
411,0.0237664,12.0777
412,0.0237664,12.1015
413,0.0237664,12.1253
414,0.0237664,12.149
415,0.0237664,12.1728
416,0.0237664,12.1966
417,0.0237664,12.2203
418,0.0237664,12.2441
419,0.0237664,12.2679
420,0.0237664,12.2916
421,0.0237664,12.3154
422,0.0237664,12.3391
423,0.0237664,12.3629
424,0.0237664,12.3867
425,0.0237664,12.4104
426,0.0237664,12.4342
427,0.0237664,12.458
428,0.0237664,12.4817
429,0.0237664,12.5055
