Step,Time step,Time
1,0.001,0.001
2,0.0005,0.0015
3,0.00025,0.00175
4,0.000153404,0.0019034
5,0.000153404,0.00205681
6,0.000153404,0.00221021
7,0.000153404,0.00236362
8,0.000306808,0.00267042
9,0.000613616,0.00328404
10,0.000613616,0.00389766
11,0.000613616,0.00451127
12,0.00122723,0.0057385
13,0.00122723,0.00696573
14,0.00122723,0.00819297
15,0.00122723,0.0094202
16,0.00245446,0.0118747
17,0.00245446,0.0143291
18,0.00245446,0.0167836
19,0.00245446,0.0192381
20,0.00245446,0.0216925
21,0.00245446,0.024147
22,0.00245446,0.0266014
23,0.00245446,0.0290559
24,0.00490893,0.0339648
25,0.00490893,0.0388738
26,0.00490893,0.0437827
27,0.00490893,0.0486916
28,0.00490893,0.0536005
29,0.00490893,0.0585095
30,0.00490893,0.0634184
31,0.00490893,0.0683273
32,0.00490893,0.0732362
33,0.00490893,0.0781452
34,0.00490893,0.0830541
35,0.00981785,0.092872
36,0.00981785,0.10269
37,0.00981785,0.112508
38,0.00981785,0.122326
39,0.00981785,0.132143
40,0.00981785,0.141961
41,0.00981785,0.151779
42,0.00981785,0.161597
43,0.00981785,0.171415
44,0.00981785,0.181233
45,0.00981785,0.19105
46,0.00981785,0.200868
47,0.00981785,0.210686
48,0.00981785,0.220504
49,0.00981785,0.230322
50,0.0196357,0.249958
51,0.0196357,0.269593
52,0.0196357,0.289229
53,0.0196357,0.308865
54,0.0196357,0.3285
55,0.0196357,0.348136
56,0.0196357,0.367772
57,0.0196357,0.387408
58,0.0196357,0.407043
59,0.0196357,0.426679
60,0.0196357,0.446315
61,0.0196357,0.46595
62,0.0196357,0.485586
63,0.0196357,0.505222
64,0.0196357,0.524858
65,0.0196357,0.544493
66,0.0196357,0.564129
67,0.0196357,0.583765
68,0.0196357,0.6034
69,0.0196357,0.623036
70,0.0196357,0.642672
71,0.0196357,0.662307
72,0.0196357,0.681943
73,0.0196357,0.701579
74,0.0196357,0.721215
75,0.0196357,0.74085
76,0.0196357,0.760486
77,0.0196357,0.780122
78,0.0196357,0.799757
79,0.0196357,0.819393
80,0.0196357,0.839029
81,0.0196357,0.858665
82,0.0196357,0.8783
83,0.0196357,0.897936
84,0.0196357,0.917572
85,0.0196357,0.937207
86,0.0196357,0.956843
87,0.0196357,0.976479
88,0.0196357,0.996115
89,0.0196357,1.01575
90,0.0196357,1.03539
91,0.0196357,1.05502
92,0.0196357,1.07466
93,0.0196357,1.09429
94,0.0196357,1.11393
95,0.0196357,1.13356
96,0.0196357,1.1532
97,0.0196357,1.17284
98,0.0196357,1.19247
99,0.0196357,1.21211
100,0.0196357,1.23174
101,0.0196357,1.25138
102,0.0196357,1.27101
103,0.0196357,1.29065
104,0.0196357,1.31029
105,0.0196357,1.32992
106,0.0196357,1.34956
107,0.0196357,1.36919
108,0.0196357,1.38883
109,0.0196357,1.40846
110,0.0196357,1.4281
111,0.0196357,1.44774
112,0.0196357,1.46737
113,0.0196357,1.48701
114,0.0196357,1.50664
115,0.0196357,1.52628
116,0.0196357,1.54591
117,0.0196357,1.56555
118,0.0129216,1.57847
119,0.0129216,1.59139
120,0.0129216,1.60431
121,0.0129216,1.61724
122,0.0129216,1.63016
123,0.0129216,1.64308
124,0.0129216,1.656
125,0.0129216,1.66892
126,0.0129216,1.68184
127,0.0129216,1.69477
128,0.0129216,1.70769
129,0.0129216,1.72061
130,0.0258432,1.74645
131,0.0258432,1.7723
132,0.0258432,1.79814
133,0.0258432,1.82398
134,0.0258432,1.84982
135,0.0258432,1.87567
136,0.0258432,1.90151
137,0.0258432,1.92735
138,0.0171397,1.94449
139,0.0171397,1.96163
140,0.0171397,1.97877
141,0.0171397,1.99591
142,0.0171397,2.01305
143,0.0171397,2.03019
144,0.0171397,2.04733
145,0.0171397,2.06447
146,0.0171397,2.08161
147,0.0171397,2.09875
148,0.0171397,2.11589
149,0.0171397,2.13303
150,0.0171397,2.15017
151,0.0171397,2.16731
152,0.0171397,2.18445
153,0.0171397,2.20159
154,0.0171397,2.21873
155,0.0171397,2.23587
156,0.0171397,2.25301
157,0.0171397,2.27015
158,0.0171397,2.28729
159,0.0171397,2.30443
160,0.0171397,2.32157
161,0.0171397,2.33871
162,0.0171397,2.35585
163,0.0171397,2.37299
164,0.0171397,2.39013
165,0.0171397,2.40727
166,0.0171397,2.42441
167,0.0171397,2.44155
168,0.0171397,2.45868
169,0.0171397,2.47582
170,0.0171397,2.49296
171,0.0171397,2.5101
172,0.0171397,2.52724
173,0.0171397,2.54438
174,0.0171397,2.56152
175,0.0171397,2.57866
176,0.0171397,2.5958
177,0.0171397,2.61294
178,0.0171397,2.63008
179,0.0171397,2.64722
