Step,Time step,Time
1,0.001,0.001
2,0.0005,0.0015
3,0.00025,0.00175
4,0.000125,0.001875
5,0.000136146,0.00201115
6,0.0001,0.00211115
7,0.000138246,0.00224939
8,0.0001,0.00234939
9,0.0001,0.00244939
10,0.0001,0.00254939
11,0.0001,0.00264939
12,0.0002,0.00284939
13,0.0004,0.00324939
14,0.0004,0.00364939
15,0.0004,0.00404939
16,0.0008,0.00484939
17,0.0008,0.00564939
18,0.0008,0.00644939
19,0.0016,0.00804939
20,0.0016,0.00964939
21,0.0016,0.0112494
22,0.0016,0.0128494
23,0.0016,0.0144494
24,0.0016,0.0160494
25,0.0032,0.0192494
26,0.0032,0.0224494
27,0.0032,0.0256494
28,0.0032,0.0288494
29,0.0032,0.0320494
30,0.0032,0.0352494
31,0.0032,0.0384494
32,0.0064,0.0448494
33,0.0064,0.0512494
34,0.0064,0.0576494
35,0.0064,0.0640494
36,0.0064,0.0704494
37,0.0064,0.0768494
38,0.0064,0.0832494
39,0.0064,0.0896494
40,0.0108329,0.100482
41,0.0108329,0.111315
42,0.0108329,0.122148
43,0.0108329,0.132981
44,0.0108329,0.143814
45,0.0108329,0.154647
46,0.0108329,0.16548
47,0.0154136,0.180893
48,0.0154136,0.196307
49,0.0154136,0.21172
50,0.0154136,0.227134
51,0.0154136,0.242548
52,0.019912,0.26246
53,0.019912,0.282372
54,0.019912,0.302284
55,0.019912,0.322196
56,0.0209487,0.343144
57,0.0226557,0.3658
58,0.0223867,0.388187
59,0.0239656,0.412152
60,0.0243864,0.436539
61,0.0248519,0.46139
62,0.0264397,0.48783
63,0.0260598,0.51389
64,0.0273471,0.541237
65,0.0273678,0.568605
66,0.0285029,0.597108
67,0.0286942,0.625802
68,0.0280805,0.653883
69,0.0261855,0.680068
70,0.0261855,0.706254
71,0.0261855,0.732439
72,0.0261855,0.758625
73,0.0261855,0.78481
74,0.0261855,0.810996
75,0.0261855,0.837181
76,0.0261855,0.863367
77,0.0261855,0.889552
78,0.0261855,0.915738
79,0.0261855,0.941924
80,0.0261855,0.968109
81,0.0261855,0.994295
82,0.0261855,1.02048
83,0.0261855,1.04667
84,0.0261855,1.07285
85,0.0261855,1.09904
86,0.0130928,1.11213
87,0.0130928,1.12522
88,0.0130928,1.13832
89,0.00654639,1.14486
90,0.00654639,1.15141
91,0.00654639,1.15795
92,0.00654639,1.1645
93,0.00654639,1.17105
94,0.0130928,1.18414
95,0.0200204,1.20416
96,0.0200204,1.22418
97,0.0200204,1.2442
98,0.0200204,1.26422
99,0.0200204,1.28424
100,0.0200204,1.30426
101,0.0200204,1.32428
102,0.0200204,1.3443
103,0.0200204,1.36432
104,0.0200204,1.38434
105,0.0200204,1.40436
106,0.0200204,1.42438
107,0.0200204,1.44441
108,0.0200204,1.46443
109,0.0200204,1.48445
110,0.0200204,1.50447
111,0.0200204,1.52449
112,0.0200204,1.54451
113,0.0200204,1.56453
114,0.0200204,1.58455
115,0.0200204,1.60457
116,0.0200204,1.62459
117,0.0200204,1.64461
118,0.0200204,1.66463
119,0.0200204,1.68465
120,0.0200204,1.70467
121,0.0200204,1.72469
122,0.0200204,1.74471
123,0.0200204,1.76473
124,0.0200204,1.78475
125,0.0200204,1.80477
126,0.0200204,1.82479
127,0.0100102,1.8348
128,0.0100102,1.84481
129,0.0100102,1.85482
130,0.0100102,1.86483
131,0.0100102,1.87484
132,0.0100102,1.88485
133,0.0100102,1.89486
134,0.0100102,1.90487
135,0.0184892,1.92336
136,0.0184892,1.94185
137,0.0184892,1.96034
138,0.0184892,1.97883
139,0.0213818,2.00021
140,0.0213818,2.0216
141,0.0213818,2.04298
142,0.0213818,2.06436
143,0.0213818,2.08574
144,0.0213818,2.10712
145,0.0213818,2.1285
146,0.0213818,2.14989
147,0.0213818,2.17127
148,0.0213818,2.19265
149,0.0213818,2.21403
150,0.0213818,2.23541
151,0.0213818,2.2568
152,0.0213818,2.27818
153,0.0213818,2.29956
154,0.0213818,2.32094
155,0.0213818,2.34232
156,0.0213818,2.3637
157,0.0213818,2.38509
158,0.0213818,2.40647
159,0.0213818,2.42785
160,0.0213818,2.44923
161,0.0106909,2.45992
162,0.0106909,2.47061
163,0.0106909,2.48131
164,0.0106909,2.492
165,0.0106909,2.50269
166,0.0106909,2.51338
167,0.0106909,2.52407
168,0.0106909,2.53476
169,0.0160268,2.55079
170,0.0160268,2.56681
171,0.0160268,2.58284
172,0.0235035,2.60634
173,0.0235035,2.62985
174,0.0235035,2.65335
175,0.0235035,2.67685
176,0.0235035,2.70036
177,0.0235035,2.72386
178,0.0235035,2.74736
179,0.0235035,2.77087
180,0.0235035,2.79437
181,0.0235035,2.81788
