Step,Time step,Time
1,0.001,0.001
2,0.0005,0.0015
3,0.00025,0.00175
4,0.000134975,0.00188498
5,0.000281271,0.00216625
6,0.000140636,0.00230688
7,0.00021259,0.00251947
8,0.000106295,0.00262577
9,0.000208108,0.00283388
10,0.000104054,0.00293793
11,0.0001,0.00303793
12,0.0001,0.00313793
13,0.0001,0.00323793
14,0.0001,0.00333793
15,0.0001,0.00343793
16,0.0001,0.00353793
17,0.0002,0.00373793
18,0.0002,0.00393793
19,0.0004,0.00433793
20,0.0008,0.00513793
21,0.0008,0.00593793
22,0.0008,0.00673793
23,0.0016,0.00833793
24,0.0032,0.0115379
25,0.0032,0.0147379
26,0.0032,0.0179379
27,0.0032,0.0211379
28,0.0032,0.0243379
29,0.0032,0.0275379
30,0.0064,0.0339379
31,0.0064,0.0403379
32,0.0064,0.0467379
33,0.0064,0.0531379
34,0.0064,0.0595379
35,0.0064,0.0659379
36,0.0064,0.0723379
37,0.0104611,0.082799
38,0.0104611,0.0932601
39,0.0104611,0.103721
40,0.0104611,0.114182
41,0.0104611,0.124643
42,0.0104611,0.135104
43,0.0142612,0.149366
44,0.0142612,0.163627
45,0.0142612,0.177888
46,0.0142612,0.192149
47,0.0142612,0.206411
48,0.0142612,0.220672
49,0.0142612,0.234933
50,0.0142612,0.249194
51,0.0183078,0.267502
52,0.0183078,0.28581
53,0.0183078,0.304118
54,0.0183078,0.322426
55,0.0183078,0.340733
56,0.0183078,0.359041
57,0.0204458,0.379487
58,0.0204458,0.399933
59,0.0204458,0.420379
60,0.0204458,0.440825
61,0.0204458,0.46127
62,0.0204458,0.481716
63,0.0204458,0.502162
64,0.022386,0.524548
65,0.022386,0.546934
66,0.0231659,0.5701
67,0.0241364,0.594236
68,0.025321,0.619557
69,0.0262888,0.645846
70,0.0272152,0.673061
71,0.0284469,0.701508
72,0.0293766,0.730885
73,0.03037,0.761255
74,0.031479,0.792734
75,0.0326757,0.825409
76,0.0340255,0.859435
77,0.0352099,0.894645
78,0.0360474,0.930692
79,0.0365806,0.967273
80,0.0370641,1.00434
81,0.0376226,1.04196
82,0.0384915,1.08045
83,0.0396866,1.12014
84,0.0410766,1.16121
85,0.042517,1.20373
86,0.0438481,1.24758
87,0.0450437,1.29262
88,0.0460252,1.33865
89,0.0469633,1.38561
90,0.0480628,1.43367
91,0.0497736,1.48345
92,0.0522011,1.53565
93,0.0548119,1.59046
94,0.0573017,1.64776
95,0.0594684,1.70723
96,0.0617516,1.76898
97,0.064202,1.83318
98,0.0666781,1.89986
99,0.0693677,1.96923
100,0.0720006,2.04123
101,0.0751641,2.1164
102,0.0782922,2.19469
103,0.0817429,2.27643
104,0.0852804,2.36171
105,0.0889633,2.45067
106,0.0931861,2.54386
107,0.0969818,2.64084
108,0.1,2.74084
109,0.1,2.84084
110,0.1,2.94084
111,0.1,3.04084
112,0.1,3.14084
113,0.1,3.24084
114,0.1,3.34084
115,0.1,3.44084
116,0.0956592,3.5365
117,0.0852867,3.62179
118,0.0730899,3.69488
119,0.0590227,3.7539
120,0.0440365,3.79794
121,0.0359143,3.83385
122,0.0390365,3.87289
123,0.0361406,3.90903
124,0.0361406,3.94517
125,0.0361406,3.98131
126,0.0362784,4.01759
127,0.0378464,4.05543
128,0.0378464,4.09328
129,0.0378464,4.13113
130,0.0309065,4.16203
131,0.0397388,4.20177
132,0.0397388,4.24151
133,0.0397388,4.28125
134,0.0397388,4.32099
135,0.0397388,4.36073
136,0.0397388,4.40047
137,0.0397388,4.44021
138,0.0397388,4.47994
139,0.0397388,4.51968
140,0.0397388,4.55942
141,0.0397388,4.59916
142,0.0397388,4.6389
143,0.0397388,4.67864
144,0.0397388,4.71838
145,0.0397388,4.75812
146,0.0397388,4.79785
147,0.0397388,4.83759
148,0.0397388,4.87733
149,0.0397388,4.91707
150,0.0397388,4.95681
151,0.0397388,4.99655
152,0.0397388,5.03629
153,0.0397388,5.07603
154,0.0397388,5.11576
155,0.0397388,5.1555
156,0.0397388,5.19524
157,0.0397388,5.23498
158,0.0397388,5.27472
159,0.0397388,5.31446
160,0.0397388,5.3542
161,0.0397388,5.39394
162,0.0397388,5.43368
163,0.0397388,5.47341
164,0.0397388,5.51315
165,0.0397388,5.55289
166,0.0397388,5.59263
167,0.0397388,5.63237
168,0.0397388,5.67211
169,0.0397388,5.71185
170,0.0397388,5.75159
171,0.0397388,5.79132
172,0.0397388,5.83106
173,0.0397388,5.8708
174,0.0397388,5.91054
175,0.0397388,5.95028
176,0.0397388,5.99002
177,0.0397388,6.02976
178,0.0397388,6.0695
179,0.0397388,6.10924
180,0.0397388,6.14897
181,0.0397388,6.18871
182,0.0397388,6.22845
