Step,Time step,Time
1,0.001,0.001
2,0.0005,0.0015
3,0.00025,0.00175
4,0.000125,0.001875
5,0.000142771,0.00201777
6,0.0001,0.00211777
7,0.000138959,0.00225673
8,0.0001,0.00235673
9,0.000183898,0.00254063
10,0.0001,0.00264063
11,0.0001,0.00274063
12,0.0001,0.00284063
13,0.00014817,0.0029888
14,0.00014817,0.00313697
15,0.00014817,0.00328514
16,0.000296339,0.00358148
17,0.000592678,0.00417415
18,0.00118536,0.00535951
19,0.00118536,0.00654487
20,0.00118536,0.00773022
21,0.00118536,0.00891558
22,0.00118536,0.0101009
23,0.00118536,0.0112863
24,0.00118536,0.0124717
25,0.00118536,0.013657
26,0.00118536,0.0148424
27,0.00118536,0.0160277
28,0.00237071,0.0183984
29,0.00237071,0.0207691
30,0.00237071,0.0231399
31,0.00237071,0.0255106
32,0.00237071,0.0278813
33,0.00237071,0.030252
34,0.00237071,0.0326227
35,0.00237071,0.0349934
36,0.00474143,0.0397349
37,0.00474143,0.0444763
38,0.00474143,0.0492177
39,0.00474143,0.0539591
40,0.00474143,0.0587006
41,0.00474143,0.063442
42,0.00474143,0.0681834
43,0.00474143,0.0729248
44,0.00474143,0.0776663
45,0.00474143,0.0824077
46,0.00474143,0.0871491
47,0.00474143,0.0918905
48,0.00474143,0.096632
49,0.00474143,0.101373
50,0.00474143,0.106115
51,0.00474143,0.110856
52,0.00474143,0.115598
53,0.00474143,0.120339
54,0.00474143,0.125081
55,0.00786932,0.13295
56,0.00786932,0.140819
57,0.00786932,0.148688
58,0.00786932,0.156558
59,0.00786932,0.164427
60,0.00786932,0.172296
61,0.00786932,0.180166
62,0.00786932,0.188035
63,0.00786932,0.195904
64,0.00786932,0.203774
65,0.00786932,0.211643
66,0.00786932,0.219512
67,0.00786932,0.227382
68,0.00786932,0.235251
69,0.00786932,0.24312
70,0.0107345,0.253855
71,0.0107345,0.264589
72,0.0107345,0.275324
73,0.0107345,0.286058
74,0.0107345,0.296793
75,0.0107345,0.307527
76,0.0107345,0.318262
77,0.0107345,0.328996
78,0.0107345,0.339731
79,0.0128243,0.352555
80,0.0128243,0.365379
81,0.0128243,0.378204
82,0.0128243,0.391028
83,0.0128243,0.403852
84,0.0128243,0.416677
85,0.0128243,0.429501
86,0.0128243,0.442325
87,0.0128243,0.455149
88,0.0128243,0.467974
89,0.0128243,0.480798
90,0.0128243,0.493622
91,0.0128243,0.506447
92,0.0128243,0.519271
93,0.0128243,0.532095
94,0.0128243,0.54492
95,0.0152265,0.560146
96,0.0152265,0.575373
97,0.0152265,0.590599
98,0.0152265,0.605826
99,0.0152265,0.621052
100,0.0163477,0.6374
101,0.0163477,0.653748
102,0.0163477,0.670095
103,0.0163477,0.686443
104,0.0163719,0.702815
105,0.0169642,0.719779
106,0.0173984,0.737177
107,0.0174785,0.754656
108,0.0180558,0.772712
109,0.0184331,0.791145
110,0.0183106,0.809455
111,0.018721,0.828176
112,0.0190552,0.847232
113,0.0196826,0.866914
114,0.0201787,0.887093
115,0.0192938,0.906387
116,0.0187941,0.925181
117,0.0189736,0.944154
118,0.0185047,0.962659
119,0.0184786,0.981138
120,0.0184786,0.999616
121,0.0184786,1.0181
122,0.0184786,1.03657
123,0.0184786,1.05505
124,0.0184786,1.07353
125,0.0184786,1.09201
126,0.0184786,1.11049
127,0.0184786,1.12897
128,0.0184786,1.14745
129,0.0184786,1.16592
130,0.0184786,1.1844
131,0.0184786,1.20288
132,0.0184786,1.22136
133,0.0184786,1.23984
134,0.0184786,1.25832
135,0.0184786,1.2768
136,0.0184786,1.29527
137,0.0184786,1.31375
138,0.00923932,1.32299
139,0.00923932,1.33223
140,0.00923932,1.34147
141,0.00461966,1.34609
142,0.00461966,1.35071
143,0.00461966,1.35533
144,0.00461966,1.35995
145,0.00923932,1.36919
146,0.00923932,1.37843
147,0.00923932,1.38767
148,0.0184786,1.40615
149,0.0184786,1.42463
150,0.0184786,1.4431
151,0.0184786,1.46158
152,0.0184786,1.48006
153,0.0184786,1.49854
154,0.0184786,1.51702
155,0.0184786,1.5355
156,0.0184786,1.55398
157,0.0184786,1.57245
158,0.0184786,1.59093
159,0.0184786,1.60941
160,0.0184786,1.62789
161,0.0184786,1.64637
162,0.0184786,1.66485
163,0.0184786,1.68333
164,0.0184786,1.70181
165,0.00923932,1.71104
166,0.00923932,1.72028
167,0.00461966,1.7249
168,0.00461966,1.72952
169,0.00461966,1.73414
170,0.00461966,1.73876
171,0.00461966,1.74338
172,0.00923932,1.75262
173,0.0176701,1.77029
174,0.0176701,1.78796
175,0.0176701,1.80563
176,0.0176701,1.8233
177,0.0176701,1.84097
178,0.0176701,1.85864
